datetime,low,high,open,close,volumefrom,volumeto
2017-11-01,0.01103,4512830.55,0.03188,0.02057,16193204.25,333126.17
2017-11-02,0.01426,0.01984,0.01925,0.01795,12390625.35,222411.23
2017-11-03,0.01801,0.02558,0.01795,0.01858,15131321.9,281158.12
2017-11-04,0.01836,0.0228,0.01896,0.01843,2995465.86,55219.79
2017-11-05,0.0182,0.02121,0.01843,0.01897,1358982.84,25780.68
2017-11-06,0.01662,0.02015,0.01968,0.0187,1543876.85,28869.97
2017-11-07,0.01635,0.01924,0.0187,0.01897,1111325.68,21081.4
2017-11-08,0.01815,0.02081,0.01897,0.02081,8135255.33,169275.1
2017-11-09,0.01972,0.02445,0.02081,0.0234,12899073.02,301868.09
2017-11-10,0.0177,0.02879,0.02871,0.01773,13700.0,327.44
2017-11-11,0.01773,0.02717,0.01773,0.02694,14800.0,355.03
2017-11-12,0.0176,0.02694,0.02694,0.0176,23700.0,462.0
2017-11-13,0.0176,0.02625,0.0176,0.02625,10200.0,228.29
2017-11-14,0.02624,0.03,0.02625,0.03,18100.0,506.52
2017-11-15,0.02134,0.0399,0.03,0.028,42100.0,1325.22
2017-11-16,0.02001,0.028,0.028,0.02001,76400.0,1800.39
2017-11-17,0.02001,0.03921,0.02001,0.022,98500.0,2072.4
2017-11-18,0.02,0.0267,0.022,0.0247,31600.0,762.62
2017-11-19,0.02153,0.0262,0.0247,0.02153,94200.0,2250.59
2017-11-20,0.02152,0.02619,0.02153,0.02155,67800.0,1518.26
2017-11-21,0.0205,0.02409,0.02155,0.0205,40800.0,898.81
2017-11-22,0.02033,0.02399,0.0205,0.02039,22800.0,474.75
2017-11-23,0.02039,0.02597,0.02039,0.025,91100.0,2166.88
2017-11-24,0.022,0.02597,0.025,0.0231,99600.0,2392.98
2017-11-25,0.022,0.0245,0.0231,0.0245,46400.0,1024.3
2017-11-26,0.022,0.02813,0.0245,0.023,16300.0,434.15
2017-11-27,0.022,0.02813,0.023,0.0221,19000.0,461.72
2017-11-28,0.0221,0.03,0.0221,0.03,170100.0,4508.34
2017-11-29,0.02025,0.0305,0.03,0.0203,108500.0,2732.28
2017-11-30,0.0188,0.02678,0.0203,0.02236,27000.0,592.19
2017-12-01,0.02236,0.02604,0.02236,0.02264,129800.0,2959.83
2017-12-02,0.0225,0.02679,0.02264,0.02679,77000.0,1901.13
2017-12-03,0.02679,0.027,0.02679,0.027,35400.0,955.62
2017-12-04,0.02102,0.027,0.027,0.02598,37400.0,827.8
2017-12-05,0.02311,0.02999,0.02598,0.02603,69800.0,1865.03
2017-12-06,0.02201,0.03502,0.02603,0.02624,95100.0,2911.24
2017-12-07,0.02624,0.05879,0.02624,0.05173,225400.0,10282.61
