datetime,low,high,open,close,volumefrom,volumeto
2019-10-24,0.02673,0.02998,0.02795,0.02902,878140.98,24955.38
2019-10-25,0.02816,0.03107,0.02902,0.03068,1662107.65,50121.85
2019-10-26,0.029,0.03713,0.03068,0.03098,3062807.79,94377.72
2019-10-27,0.02967,0.0348,0.03098,0.03198,837764.85,25831.65
2019-10-28,0.03001,0.03478,0.03198,0.03223,711680.47,22852.91
2019-10-29,0.03061,0.03449,0.03223,0.0344,1483734.92,49668.84
2019-10-30,0.03213,0.03448,0.0344,0.03272,2237806.1,74224.76
2019-10-31,0.03213,0.03628,0.03272,0.0333,1704404.33,56276.21
2019-11-01,0.03304,0.037,0.0333,0.03499,449010.77,15268.63
2019-11-02,0.03422,0.03499,0.03499,0.03422,11417.3,395.34
2019-11-03,0.03352,0.03948,0.03422,0.03692,989417.72,34981.19
2019-11-04,0.03411,0.03916,0.03692,0.03645,1439775.42,52890.71
2019-11-05,0.03511,0.03978,0.03645,0.03619,1184054.71,43106.26
2019-11-06,0.03389,0.03626,0.03619,0.0341,757666.06,26203.95
2019-11-07,0.03175,0.03598,0.0341,0.03275,551081.95,18202.43
2019-11-08,0.03221,0.03712,0.03275,0.03221,655666.81,22428.44
2019-11-09,0.03221,0.03959,0.03221,0.03688,1594694.02,59641.33
2019-11-10,0.03445,0.0385,0.03688,0.03529,685608.3,24600.61
2019-11-11,0.03438,0.0385,0.03529,0.03441,111701.05,4030.35
2019-11-12,0.03411,0.0363,0.03441,0.0353,787696.8,27616.57
2019-11-13,0.03433,0.0353,0.0353,0.03518,85977.21,3003.91
2019-11-14,0.03338,0.03537,0.03518,0.03338,17814.0,628.98
2019-11-15,0.03126,0.0341,0.03338,0.0335,766584.06,24709.34
2019-11-16,0.03176,0.0335,0.0335,0.03186,60463.87,1933.89
2019-11-17,0.03186,0.03479,0.03186,0.03266,551834.61,18254.36
2019-11-18,0.03016,0.03274,0.03266,0.03031,691432.88,21785.47
2019-11-19,0.02846,0.03857,0.03031,0.03,296961.47,9150.44
2019-11-20,0.0287,0.03047,0.03,0.02934,633567.68,18837.42
2019-11-21,0.02607,0.03493,0.02934,0.02732,733970.15,19928.17
2019-11-22,0.02533,0.03789,0.02732,0.02623,1312151.9,35171.22
2019-11-23,0.02309,0.02999,0.02623,0.02548,8166835.53,200850.05
2019-11-24,0.02361,0.02559,0.02548,0.02403,715047.45,17691.97
2019-11-25,0.02284,0.03371,0.02403,0.02414,1956708.62,47423.84
2019-11-26,0.02353,0.03265,0.02414,0.02438,174132.62,4291.0
2019-11-27,0.02258,0.02599,0.02438,0.02423,1121491.51,26557.34
2019-11-28,0.0241,0.02989,0.02423,0.02523,736972.8,18869.96
2019-11-29,0.02523,0.02638,0.02523,0.02594,27113.02,719.59
2019-11-30,0.02451,0.02654,0.02594,0.02463,275285.85,6846.66
2019-12-01,0.02455,0.02561,0.02463,0.02561,7306.0,186.91
2019-12-02,0.02381,0.02659,0.02561,0.02417,453630.37,11093.94
2019-12-03,0.02368,0.02427,0.02417,0.02371,47278.6,1127.36
2019-12-04,0.022,0.02398,0.02371,0.02267,800772.89,18518.27
2019-12-05,0.022,0.02393,0.02267,0.02266,495581.0,11445.0
2019-12-06,0.02231,0.02376,0.02266,0.02376,131894.22,3088.8
2019-12-07,0.02327,0.03798,0.02376,0.02466,94195.25,2298.05
2019-12-08,0.02393,0.0265,0.02466,0.02627,335658.71,8471.52
2019-12-09,0.02432,0.03518,0.02627,0.0254,1017703.33,27205.78
2019-12-10,0.022,0.02561,0.0254,0.02323,1117963.86,25870.32
2019-12-11,0.02323,0.02474,0.02323,0.02428,168248.09,4024.82
2019-12-12,0.02396,0.02453,0.02428,0.02396,25274.27,607.55
2019-12-13,0.02328,0.02494,0.02396,0.02355,107889.59,2592.31
2019-12-14,0.02323,0.02396,0.02355,0.02396,108559.69,2560.41
2019-12-15,0.02239,0.02396,0.02396,0.02278,521417.07,11859.28
2019-12-16,0.02045,0.02314,0.02278,0.0209,919667.89,19801.97
2019-12-17,0.01798,0.02281,0.0209,0.01836,1589093.09,31301.13
2019-12-18,0.01809,0.02188,0.01836,0.0195,2416094.02,46225.52
2019-12-19,0.018,0.01957,0.0195,0.01809,2362045.56,43623.69
2019-12-20,0.0179,0.01976,0.01809,0.01878,461073.59,8676.27
2019-12-21,0.018,0.01878,0.01878,0.018,404829.83,7402.66
2019-12-22,0.018,0.0225,0.018,0.01854,1141224.09,21935.34
2019-12-23,0.01357,0.01854,0.01854,0.01551,6654761.21,106690.04
2019-12-24,0.015,0.016,0.01551,0.01507,615477.94,9398.29
2019-12-25,0.01451,0.01507,0.01507,0.015,615932.77,9067.47
2019-12-26,0.01471,0.01507,0.015,0.01507,236289.22,3482.42
2019-12-27,0.0135,0.01525,0.01507,0.01416,724981.37,10254.85
2019-12-28,0.01382,0.01524,0.01416,0.01382,943373.87,13414.91
2019-12-29,0.0127,0.015,0.01382,0.01308,3155056.06,42236.57
2019-12-30,0.01055,0.01319,0.01308,0.01105,3223090.1,35724.93
2019-12-31,0.0101,0.01167,0.01105,0.01019,3581550.74,38939.0
2020-01-01,0.01,0.01452,0.01019,0.01024,9844754.21,102618.49
2020-01-02,0.009812,0.01119,0.01024,0.01009,1201793.61,12390.82
2020-01-03,0.01009,0.01345,0.01009,0.01038,856057.87,9161.7
2020-01-04,0.01028,0.01298,0.01038,0.01111,1295050.6,14537.32
2020-01-05,0.01082,0.05157,0.01111,0.01158,2796795.8,55247.22
2020-01-06,0.01077,0.01966,0.01158,0.01113,1657914.0,18985.76
2020-01-07,0.01053,0.01183,0.01113,0.01064,2899180.62,32058.09
2020-01-08,0.0101,0.0115,0.01064,0.01033,2061694.41,21427.4
2020-01-09,0.01008,0.01059,0.01033,0.0101,2268890.62,23220.18
2020-01-10,0.0101,0.01174,0.0101,0.01063,2090357.3,22232.29
2020-01-11,0.0102,0.01158,0.01063,0.01136,2198934.64,24645.41
2020-01-12,0.0108,0.0114,0.01136,0.01098,553375.06,6136.99
2020-01-13,0.01044,0.01101,0.01098,0.01047,1237469.61,13084.05
2020-01-14,0.01005,0.01095,0.01047,0.01026,3441590.28,35743.11
2020-01-15,0.0101,0.01069,0.01026,0.01053,2805712.6,29101.05
2020-01-16,0.01046,0.01181,0.01053,0.01157,1934879.37,21237.04
2020-01-17,0.0108,0.0121,0.01157,0.01165,5063461.73,57366.95
2020-01-18,0.01139,0.01281,0.01165,0.01185,1361401.75,16043.63
2020-01-19,0.01032,0.01192,0.01185,0.01077,2121824.53,23010.84
2020-01-20,0.0104,0.01105,0.01077,0.01055,254491.98,2695.51
2020-01-21,0.01015,0.01074,0.01055,0.01044,1088290.81,11242.58
2020-01-22,0.01044,0.012,0.01044,0.01078,1634242.19,17787.35
2020-01-23,0.01014,0.01083,0.01078,0.01026,4069300.98,42099.81
2020-01-24,0.01024,0.01154,0.01026,0.01121,967923.48,10577.09
2020-01-25,0.01077,0.01253,0.01121,0.01202,2274799.44,26559.78
2020-01-26,0.0116,0.01233,0.01202,0.01164,1082402.95,12859.56
2020-01-27,0.01124,0.01231,0.01164,0.0117,995648.66,11845.9
2020-01-28,0.011,0.01235,0.0117,0.01157,3270525.87,37619.81
2020-01-29,0.01126,0.0117,0.01157,0.01154,678839.37,7851.68
2020-01-30,0.01143,0.01226,0.01154,0.01193,698475.82,8347.33
2020-01-31,0.01172,0.01586,0.01193,0.01308,3776853.86,47297.98
2020-02-01,0.01278,0.014,0.01308,0.01344,1396087.64,18507.13
2020-02-02,0.01311,0.01344,0.01344,0.01312,292144.34,3859.69
2020-02-03,0.01281,0.01597,0.01312,0.01582,3713781.93,53146.82
2020-02-04,0.01531,0.02064,0.01582,0.01825,11745802.53,205824.94
2020-02-05,0.01678,0.03048,0.01825,0.02242,7170709.68,140286.13
2020-02-06,0.02002,0.02364,0.02242,0.02087,7728043.53,165933.56
2020-02-07,0.01955,0.04562,0.02087,0.02039,4376082.61,89933.45
2020-02-08,0.0178,0.02057,0.02039,0.01857,6842624.77,129834.36
2020-02-09,0.01812,0.02139,0.01857,0.01985,4877887.78,96483.77
2020-02-10,0.01853,0.02038,0.01985,0.01895,1209860.34,23319.89
2020-02-11,0.01876,0.03866,0.01895,0.03436,21718945.15,657622.9
2020-02-12,0.03326,0.08451,0.03436,0.06879,49537748.55,2855197.28
2020-02-13,0.0508,0.0802,0.06879,0.05554,18755239.36,1224266.99
2020-02-14,0.04829,0.06,0.05554,0.05455,12931480.11,691005.72
2020-02-15,0.047,0.058,0.05455,0.04808,12114121.34,630876.2
2020-02-16,0.03918,0.05502,0.04808,0.05351,13042208.91,590181.09
2020-02-17,0.04644,0.05997,0.05351,0.05173,13528134.3,708890.45
2020-02-18,0.048,0.05399,0.05173,0.0513,7719054.09,393895.87
2020-02-19,0.04469,0.05413,0.0513,0.04673,5340745.15,267605.61
2020-02-20,0.04327,0.04844,0.04673,0.04639,4564734.51,208679.11
2020-02-21,0.045,0.04982,0.04639,0.046,4853569.38,226492.74
2020-02-22,0.0451,0.04897,0.046,0.0455,1923410.22,89478.19
2020-02-23,0.04153,0.0455,0.0455,0.0431,5920308.85,257038.48
2020-02-24,0.036,0.04359,0.0431,0.0378,8516906.47,330611.79
2020-02-25,0.03358,0.0399,0.0378,0.0355,3623253.48,131513.24
2020-02-26,0.02518,0.0498,0.0355,0.03244,7637841.35,255767.86
2020-02-27,0.03125,0.03969,0.03244,0.03635,6111143.82,214571.8
2020-02-28,0.03204,0.0432,0.03635,0.03521,5244585.14,184529.68
2020-02-29,0.034,0.03789,0.03521,0.03411,3765505.55,136185.97
2020-03-01,0.03319,0.03739,0.03411,0.03456,1923692.34,66300.31
2020-03-02,0.03403,0.04071,0.03456,0.0385,6614088.72,253336.18
2020-03-03,0.03718,0.0415,0.0385,0.04149,6275088.68,244781.34
2020-03-04,0.04067,0.04589,0.04149,0.04141,9222696.89,395553.32
2020-03-05,0.04141,0.049,0.04141,0.04555,8262091.84,362412.0
2020-03-06,0.04555,0.06494,0.04555,0.05918,14861785.91,818619.11
2020-03-07,0.05338,0.06479,0.05918,0.05602,15544293.52,899338.04
2020-03-08,0.05004,0.06312,0.05602,0.05038,14734771.93,816798.23
2020-03-09,0.0433,0.05638,0.05038,0.0454,10745431.17,528925.83
2020-03-10,0.04372,0.0495,0.0454,0.04537,4614359.28,213857.29
2020-03-11,0.04443,0.05344,0.04537,0.04784,10111371.24,491939.3
2020-03-12,0.02383,0.04807,0.04784,0.02512,26797540.59,877172.86
2020-03-13,0.01953,0.0359,0.02512,0.03522,18011503.11,516446.01
2020-03-14,0.03505,0.04696,0.03522,0.03993,21415572.89,880381.09
2020-03-15,0.03833,0.04455,0.03993,0.03901,11953954.96,495671.42
2020-03-16,0.02908,0.04,0.03901,0.03567,15773661.01,534106.16
2020-03-17,0.03408,0.03999,0.03567,0.03706,6846212.47,253114.62
2020-03-18,0.03332,0.03853,0.03706,0.03653,7847327.71,280568.66
2020-03-19,0.0342,0.043,0.03653,0.04069,13423384.84,528268.6
2020-03-20,0.03525,0.04379,0.04069,0.03702,13056824.79,523148.23
2020-03-21,0.03486,0.03901,0.03702,0.03688,7128924.67,263958.4
2020-03-22,0.03329,0.03899,0.03688,0.03338,6688909.37,236144.94
2020-03-23,0.02995,0.035,0.03338,0.03443,14835274.99,474263.62
2020-03-24,0.03191,0.03621,0.03443,0.03355,8294775.05,278619.29
2020-03-25,0.0315,0.03497,0.03355,0.03276,4505915.13,149526.97
2020-03-26,0.032,0.0345,0.03276,0.03407,2521649.73,82627.93
2020-03-27,0.03122,0.03493,0.03407,0.03183,3727479.77,125552.03
2020-03-28,0.02955,0.0335,0.03183,0.03097,6496152.39,201221.4
2020-03-29,0.0301,0.033,0.03097,0.03057,2704217.94,85184.6
2020-03-30,0.03047,0.0326,0.03057,0.03187,1574507.94,49891.63
2020-03-31,0.031,0.0325,0.03187,0.03197,2364636.27,75589.69
2020-04-01,0.031,0.03328,0.03197,0.03275,3652243.3,115844.29
2020-04-02,0.0315,0.03472,0.03275,0.0333,8163416.16,271656.39
2020-04-03,0.0325,0.03451,0.0333,0.03396,3555370.75,118898.0
2020-04-04,0.03283,0.034,0.03396,0.03351,1635774.46,54897.4
2020-04-05,0.032,0.03378,0.03351,0.03284,2768007.04,89898.98
2020-04-06,0.032,0.0351,0.03284,0.0351,4940923.2,168592.15
2020-04-07,0.0332,0.03585,0.0351,0.03374,3983315.78,137039.95
2020-04-08,0.033,0.03487,0.03374,0.03398,3230745.33,109052.22
2020-04-09,0.033,0.03676,0.03398,0.0367,2873758.75,99365.34
2020-04-10,0.03193,0.03799,0.0367,0.03248,3561378.52,122234.65
2020-04-11,0.03195,0.03341,0.03248,0.03276,1063813.94,34809.34
2020-04-12,0.032,0.0349,0.03276,0.03313,1627586.36,54255.5
2020-04-13,0.025,0.03313,0.03313,0.03262,4942459.08,148317.15
2020-04-14,0.03209,0.0333,0.03262,0.03294,1435535.73,47009.14
2020-04-15,0.0318,0.0335,0.03294,0.03206,1668456.05,54428.65
2020-04-16,0.03025,0.03404,0.03206,0.03301,2907630.56,93326.07
2020-04-17,0.03203,0.0338,0.03301,0.03267,754987.55,24662.38
2020-04-18,0.03267,0.035,0.03267,0.03423,2885431.06,97866.74
2020-04-19,0.03261,0.035,0.03423,0.03303,2463453.46,83539.04
2020-04-20,0.0302,0.0347,0.03303,0.03081,3048175.76,97062.7
2020-04-21,0.03026,0.032,0.03081,0.0312,3127830.71,97456.06
2020-04-22,0.03058,0.0337,0.0312,0.03277,2359802.52,75678.7
2020-04-23,0.03133,0.03415,0.03277,0.0328,2820263.3,92342.21
2020-04-24,0.03238,0.03408,0.0328,0.0331,1817026.27,60200.97
2020-04-25,0.03286,0.0339,0.0331,0.03332,1388211.58,46384.37
2020-04-26,0.03313,0.035,0.03332,0.03429,2524121.54,86324.03
2020-04-27,0.0335,0.03474,0.03429,0.03411,2146689.99,72923.02
2020-04-28,0.03357,0.03453,0.03411,0.0338,1173844.73,39806.64
2020-04-29,0.03351,0.03563,0.0338,0.03521,2922322.65,100810.41
2020-04-30,0.03399,0.0369,0.03521,0.03528,6166758.11,218431.92
2020-05-01,0.03528,0.04448,0.03528,0.04186,12704253.77,508669.15
2020-05-02,0.04169,0.04892,0.04186,0.04391,8302586.83,371694.12
2020-05-03,0.03818,0.04391,0.04391,0.03949,6428176.54,260553.4
2020-05-04,0.036,0.04199,0.03949,0.04175,5533947.58,216704.25
2020-05-05,0.03842,0.043,0.04175,0.03986,4536149.2,183004.36
2020-05-06,0.03884,0.042,0.03986,0.039,3049244.0,122271.33
2020-05-07,0.03364,0.04041,0.039,0.03968,3113709.22,120836.14
2020-05-08,0.0385,0.042,0.03968,0.03979,1829040.2,73484.55
2020-05-09,0.03881,0.041,0.03979,0.03909,2259774.97,89342.64
2020-05-10,0.03284,0.03909,0.03909,0.03441,4516058.83,156124.01
2020-05-11,0.03164,0.03799,0.03441,0.034,3664950.12,123930.55
2020-05-12,0.03342,0.03805,0.034,0.03551,1944125.83,69105.93
2020-05-13,0.035,0.03635,0.03551,0.03567,1298632.0,46059.14
2020-05-14,0.03499,0.03857,0.03567,0.03786,3066292.06,113921.62
2020-05-15,0.03576,0.03884,0.03786,0.03583,2642898.26,97606.21
2020-05-16,0.03583,0.03862,0.03583,0.03592,1064895.47,38854.47
2020-05-17,0.03573,0.038,0.03592,0.0361,1428006.84,51754.2
2020-05-18,0.03531,0.03763,0.0361,0.03644,2185497.51,78872.88
2020-05-19,0.0355,0.03657,0.03644,0.03632,1131964.18,40793.99
2020-05-20,0.03606,0.03974,0.03632,0.038,4960634.54,187740.38
2020-05-21,0.03542,0.03894,0.038,0.03603,1790319.53,65156.6
2020-05-22,0.0357,0.0387,0.03603,0.03754,1681304.72,62352.9
2020-05-23,0.03618,0.0387,0.03754,0.03708,1271827.9,47622.31
2020-05-24,0.03617,0.0391,0.03708,0.037,2060304.6,77052.15
2020-05-25,0.0365,0.04065,0.037,0.03977,3161741.53,122363.94
2020-05-26,0.03977,0.04794,0.03977,0.04504,15667435.63,695959.57
2020-05-27,0.04021,0.0498,0.04504,0.04974,9238465.78,406526.08
2020-05-28,0.04498,0.05099,0.04974,0.04562,8479867.44,398847.32
2020-05-29,0.0433,0.04665,0.04562,0.045,3876208.1,171652.68
2020-05-30,0.04385,0.04642,0.045,0.04575,1350905.43,60873.36
2020-05-31,0.04316,0.04643,0.04575,0.04378,2052073.45,91992.6
2020-06-01,0.04229,0.04516,0.04378,0.04406,2476157.94,109057.3
2020-06-02,0.04056,0.04495,0.04406,0.04268,4194766.03,180253.41
2020-06-03,0.04139,0.04427,0.04268,0.04328,5643612.61,239821.34
2020-06-04,0.04225,0.04518,0.04328,0.04443,7109360.4,308590.46
2020-06-05,0.04351,0.04522,0.04443,0.04397,3761415.18,166173.11
2020-06-06,0.04325,0.04431,0.04397,0.04409,2546632.69,111693.62
2020-06-07,0.04173,0.04416,0.04409,0.04389,2538851.27,109328.56
2020-06-08,0.04322,0.04404,0.04389,0.04404,1393000.55,60816.41
2020-06-09,0.04287,0.0445,0.04404,0.04355,1807164.09,78649.64
2020-06-10,0.04326,0.04506,0.04355,0.04506,3964248.07,174573.86
2020-06-11,0.0402,0.04571,0.04506,0.04034,5746779.73,247848.24
2020-06-12,0.04,0.04302,0.04034,0.04232,4704002.48,195614.8
2020-06-13,0.04135,0.04263,0.04232,0.04233,1535628.98,64698.61
2020-06-14,0.04053,0.04303,0.04233,0.04093,2131218.45,89151.18
2020-06-15,0.0381,0.04213,0.04093,0.04117,4459080.75,178738.23
2020-06-16,0.04047,0.04316,0.04117,0.04174,2053973.56,85582.08
2020-06-17,0.0411,0.04291,0.04174,0.04258,4226800.97,178993.04
2020-06-18,0.04211,0.04996,0.04258,0.04543,18220481.49,840908.88
2020-06-19,0.0427,0.04599,0.04543,0.04413,7812037.86,343602.42
2020-06-20,0.04183,0.04467,0.04413,0.0439,4734509.2,204954.94
2020-06-21,0.04325,0.04429,0.0439,0.04363,2822183.1,123597.43
2020-06-22,0.04324,0.04409,0.04363,0.04385,3001556.61,131053.72
2020-06-23,0.04165,0.04393,0.04385,0.04228,6687969.04,285376.99
2020-06-24,0.04056,0.04286,0.04228,0.04145,4622278.28,191184.16
2020-06-25,0.03974,0.04163,0.04145,0.04067,5243642.0,212618.04
2020-06-26,0.03874,0.04079,0.04067,0.03948,6411103.17,252466.82
2020-06-27,0.03691,0.03981,0.03948,0.03728,7253044.12,278617.43
2020-06-28,0.03634,0.03952,0.03728,0.03826,7832942.09,297504.19
2020-06-29,0.03718,0.03987,0.03826,0.03857,3056677.91,116114.53
2020-06-30,0.03532,0.03905,0.03857,0.0383,3098475.55,118802.89
2020-07-01,0.03811,0.04068,0.0383,0.03894,5632569.27,220301.56
2020-07-02,0.03716,0.03993,0.03894,0.03812,5598704.62,214556.27
2020-07-03,0.0378,0.04065,0.03812,0.03967,7826111.42,306882.8
2020-07-04,0.03932,0.04126,0.03967,0.04113,6850108.23,277035.98
2020-07-05,0.03873,0.04128,0.04113,0.03964,7117228.42,282411.76
2020-07-06,0.03934,0.04062,0.03964,0.04044,6310246.25,252794.69
2020-07-07,0.03969,0.04156,0.04044,0.0408,7792198.87,315926.9
2020-07-08,0.04003,0.042,0.0408,0.04192,6624203.67,270949.74
2020-07-09,0.03973,0.0423,0.04192,0.04078,7315131.45,300190.93
2020-07-10,0.04011,0.04169,0.04078,0.04141,5911265.67,241718.6
2020-07-11,0.0408,0.04219,0.04141,0.04166,3289609.32,136250.51
2020-07-12,0.04057,0.04312,0.04166,0.04277,9436463.22,395454.65
2020-07-13,0.04075,0.04353,0.04277,0.04113,8432369.82,357625.5
2020-07-14,0.04016,0.04146,0.04113,0.04092,5864943.08,239176.79
2020-07-15,0.0401,0.04132,0.04092,0.04056,4129037.7,167715.85
2020-07-16,0.03808,0.04065,0.04056,0.03895,5463003.54,214813.36
2020-07-17,0.03846,0.04015,0.03895,0.03939,3860742.22,151381.04
2020-07-18,0.03903,0.04036,0.03939,0.04011,3238130.5,128875.51
2020-07-19,0.03934,0.0405,0.04011,0.04007,2964252.97,118232.4
2020-07-20,0.04005,0.04208,0.04007,0.04084,8379703.18,342119.66
2020-07-21,0.04051,0.04173,0.04084,0.04159,4565884.31,187559.04
2020-07-22,0.0409,0.04355,0.04159,0.04228,8146855.61,344707.67
2020-07-23,0.04186,0.04372,0.04228,0.04256,8082291.92,345431.56
2020-07-24,0.0416,0.04314,0.04256,0.04294,7257333.76,307870.35
2020-07-25,0.04252,0.0438,0.04294,0.04292,6491414.46,279496.43
2020-07-26,0.04064,0.04313,0.04292,0.04112,9004103.63,377607.17
2020-07-27,0.03909,0.04202,0.04112,0.04005,13473976.82,544217.57
2020-07-28,0.03972,0.04348,0.04005,0.04298,13204091.76,549959.09
2020-07-29,0.04219,0.04504,0.04298,0.04396,14519756.7,636976.47
2020-07-30,0.04259,0.04552,0.04396,0.04286,10821370.51,469164.02
2020-07-31,0.04235,0.04474,0.04286,0.04455,12087986.25,527171.23
2020-08-01,0.0438,0.04636,0.04455,0.04589,8631539.53,388253.32
2020-08-02,0.04262,0.04862,0.04589,0.04354,11874353.18,534505.69
2020-08-03,0.04354,0.04507,0.04354,0.04404,5365895.87,237417.32
2020-08-04,0.04223,0.04436,0.04404,0.04319,6806510.6,293593.09
2020-08-05,0.0425,0.04394,0.04319,0.04364,6208684.66,268348.89
2020-08-06,0.04265,0.04485,0.04364,0.04442,8240356.64,359196.82
2020-08-07,0.04241,0.04601,0.04442,0.04391,9270110.73,411171.13
2020-08-08,0.04301,0.04508,0.04391,0.04508,5674865.27,250051.2
2020-08-09,0.04392,0.04517,0.04508,0.04507,6951790.34,309983.87
2020-08-10,0.04507,0.05346,0.04507,0.0529,27359151.15,1362393.08
2020-08-11,0.0475,0.05928,0.0529,0.05153,28528472.68,1552161.53
2020-08-12,0.04748,0.05235,0.05153,0.05209,15535623.27,779195.85
2020-08-13,0.04789,0.05226,0.05209,0.05138,9372814.16,470381.52
2020-08-14,0.0498,0.0557,0.05138,0.05446,9501416.69,501455.41
2020-08-15,0.05203,0.05472,0.05446,0.05232,8509536.28,450629.03
2020-08-16,0.05133,0.05507,0.05232,0.05377,6642233.1,350804.24
2020-08-17,0.05163,0.06184,0.05377,0.05704,19558957.76,1106910.81
2020-08-18,0.05167,0.05963,0.05704,0.05318,9996793.82,552684.89
2020-08-19,0.04885,0.05427,0.05318,0.0502,10031575.83,512370.12
2020-08-20,0.04891,0.05234,0.0502,0.05231,6171665.84,313069.56
2020-08-21,0.04865,0.05231,0.05231,0.04896,8605156.29,434668.7
2020-08-22,0.04723,0.05102,0.04896,0.05009,8724687.21,426248.8
2020-08-23,0.04777,0.05073,0.05009,0.04889,4378307.4,214242.94
2020-08-24,0.04774,0.04999,0.04889,0.04973,3162942.23,154656.8
2020-08-25,0.04565,0.05027,0.04973,0.04649,3897707.66,184882.15
2020-08-26,0.04541,0.0469,0.04649,0.0464,4089862.28,188533.8
2020-08-27,0.04313,0.04662,0.0464,0.04405,4767721.08,213717.4
2020-08-28,0.04373,0.04498,0.04405,0.04494,3758295.89,166833.86
2020-08-29,0.04459,0.04611,0.04494,0.04546,3596099.03,163413.84
2020-08-30,0.04511,0.04732,0.04546,0.0471,3249206.06,149080.06
2020-08-31,0.04535,0.0475,0.0471,0.0457,3110977.57,143485.99
2020-09-01,0.0449,0.04757,0.0457,0.0453,5731385.09,262400.68
2020-09-02,0.04214,0.04606,0.0453,0.04266,6289194.13,275569.77
2020-09-03,0.03869,0.0439,0.04266,0.03878,9823283.15,400329.71
2020-09-04,0.03768,0.04003,0.03878,0.03894,5767769.6,225586.24
2020-09-05,0.03494,0.0395,0.03894,0.03617,4759914.71,176261.9
2020-09-06,0.03472,0.03714,0.03617,0.0366,4040731.77,145242.65
2020-09-07,0.0338,0.0369,0.0366,0.0368,4639176.45,165564.51
2020-09-08,0.03543,0.03844,0.0368,0.03606,4445146.65,163999.87
2020-09-09,0.0356,0.03863,0.03606,0.03713,3093080.81,113942.54
2020-09-10,0.03713,0.03943,0.03713,0.03879,5186042.05,198162.25
2020-09-11,0.03718,0.03889,0.03879,0.03854,2830093.66,107640.22
2020-09-12,0.03789,0.0386,0.03854,0.03847,2623170.45,100502.1
2020-09-13,0.03604,0.0387,0.03847,0.03684,3293160.91,122934.1
2020-09-14,0.03611,0.03758,0.03684,0.03739,3197704.26,117731.95
2020-09-15,0.03525,0.04075,0.03739,0.03577,4449038.41,165318.74
2020-09-16,0.03437,0.03693,0.03577,0.03615,4970760.82,177311.57
2020-09-17,0.03365,0.0371,0.03615,0.03461,10671263.93,376873.09
2020-09-18,0.03421,0.03575,0.03461,0.03436,3868330.0,134355.32
2020-09-19,0.03425,0.0356,0.03436,0.03451,2029589.29,70073.68
2020-09-20,0.03321,0.03584,0.03451,0.03351,2528540.72,85834.36
2020-09-21,0.0302,0.03382,0.03351,0.03144,4043183.95,127156.67
2020-09-22,0.03074,0.03338,0.03144,0.03202,3790992.98,120112.22
2020-09-23,0.02951,0.03214,0.03202,0.02989,5403444.05,167190.75
